country,alig,indi,peac,many,i_li,good,simi,can,stab,popu,inte,cult,educ,rich,indu,powe,prog,larg
USA,0.0,1.28,2.13,1.21,1.24,1.55,1.88,1.22,1.33,1.71,2.06,1.25,0.94,0.46,0.4,0.3,1.55,0.41
UK,0.69,1.79,1.51,1.04,1.16,1.35,1.8,1.78,1.14,1.54,1.45,1.47,1.04,1.35,0.87,1.57,1.93,2.23
WG,0.94,1.75,1.82,1.62,1.57,1.66,2.07,1.69,1.41,1.51,1.64,1.89,1.07,1.11,0.84,1.39,1.17,1.85
FRA,1.33,1.85,1.8,1.7,1.61,1.71,1.9,1.81,1.89,1.85,1.97,1.6,1.5,1.62,1.54,1.71,1.74,1.85
ISR,1.28,2.43,2.38,1.63,1.69,1.81,2.15,1.66,1.57,1.56,1.2,1.91,1.55,1.69,1.69,1.77,1.18,2.66
JAP,1.36,2.03,1.62,1.55,1.49,1.45,1.94,1.51,1.25,1.57,1.34,1.76,1.45,1.28,0.87,1.4,0.98,2.0
SA,1.73,1.54,1.97,2.47,2.32,2.36,2.62,2.5,2.1,2.36,2.5,2.4,2.36,1.65,1.84,2.07,2.07,1.81
GRE,1.44,1.77,1.67,2.41,1.6,2.05,2.32,2.3,2.36,2.28,2.19,1.68,2.11,2.33,2.31,2.46,2.12,2.46
SPA,1.54,1.71,1.62,2.37,1.88,2.2,2.47,2.35,1.88,2.15,2.13,1.99,2.15,2.35,2.25,2.44,2.16,2.11
BRA,1.61,1.85,1.48,2.15,1.59,1.96,2.44,2.25,2.33,2.33,2.18,2.32,2.44,2.2,2.28,2.29,1.76,1.33
MEX,1.49,1.95,1.42,2.11,1.62,1.81,2.35,2.22,1.96,2.1,1.81,2.08,2.4,2.28,2.24,2.36,1.81,1.9
ETH,1.83,1.96,1.47,2.22,1.69,1.9,2.52,2.33,1.9,2.04,1.77,2.43,2.5,2.46,2.55,2.49,1.9,2.22
INDI,1.72,2.1,1.49,2.1,1.66,1.87,2.47,2.37,2.01,2.34,2.36,1.84,2.56,2.62,2.44,2.33,1.85,0.94
INDO,1.97,1.88,2.05,2.38,1.95,2.16,2.55,2.33,2.37,2.26,2.31,2.41,2.5,2.37,2.44,2.36,1.96,1.93
CON,2.0,1.82,2.06,2.46,2.06,2.27,2.71,2.45,2.58,2.34,2.53,2.45,2.61,2.43,2.62,2.53,2.11,1.9
EGY,2.33,2.21,2.43,2.29,1.98,2.19,2.55,2.34,2.21,2.13,1.84,2.0,2.45,2.37,2.35,2.3,2.08,1.97
CHI,2.81,2.64,2.56,2.64,2.18,2.26,2.5,2.4,2.13,2.27,2.19,1.95,2.38,2.43,2.09,1.42,1.62,0.57
CUB,2.63,2.53,2.31,2.47,2.01,2.14,2.47,2.3,2.11,2.17,1.72,2.24,2.3,2.33,2.29,2.35,1.82,2.66
YUG,2.27,2.52,1.55,2.22,1.59,1.86,2.25,2.15,1.66,1.85,1.72,2.3,1.91,2.24,2.0,2.29,1.62,2.21
POL,2.4,2.57,1.81,2.42,1.85,2.04,2.4,2.24,1.55,2.02,1.65,2.33,1.71,2.1,1.77,2.25,1.79,2.13
USSR,2.52,2.73,2.3,2.54,1.92,2.0,2.24,2.17,1.31,1.86,1.48,1.55,1.4,1.37,1.04,0.69,1.09,0.4
